经度索引,纬度索引,count
70,4,31
46,80,5
81,80,175
113,3,33
94,14,245
13,47,2
113,12,336
99,52,4
103,65,14
55,55,6
123,37,189
125,50,1
51,55,41
38,28,38
98,20,1
98,15,1
41,38,6079
77,39,9967768
124,6,1560
31,67,52910
102,77,987
111,63,10387
127,65,341
128,66,138
15,18,317
69,60,913
56,38,256
83,78,69
103,2,231
107,52,227
58,25,664
45,59,226
102,43,66
29,57,166
110,69,15
113,57,273
26,55,195
28,66,430
22,52,50
102,66,79
34,21,170
36,21,98
54,81,54
118,20,1
127,62,133
127,33,41
109,51,77
115,65,96
45,23,54
126,17,32
46,50,19
59,8,24
60,16,51
84,17,69
76,68,8
82,20,59
19,55,3
50,9,18
51,25,45
97,20,1
42,72,1
118,32,11
46,49,1
35,47,25
99,18,2
106,32,11
30,61,412
41,72,7982
42,56,1108
54,4,5658
54,45,55277
60,41,22134
61,13,5433
63,40,2926
64,32,185557
66,41,48428
74,22,4205
79,54,3608
84,42,247757
84,55,46888
90,38,18497
125,44,2249
68,73,966
22,33,86
101,13,9
80,12,35
85,9,1745
33,71,1008
34,75,7147
52,69,51
60,50,178
8,6,449
93,61,370
29,60,1021
28,26,116
109,72,79
127,47,508
45,27,278
111,15,118
88,51,2415
54,29,23
99,67,40
122,9,1681
35,68,74
100,27,97
96,20,40
87,13,142
45,31,16
104,68,4
43,54,19
126,24,188
128,23,25
28,17,19
29,20,13
86,77,6
87,11,253
27,60,60
16,2,19
55,21,50
100,37,9
92,11,40
120,36,1
127,43,58
5,17,3
64,12,11
63,29,42842
64,35,170108
67,48,57936
69,51,72172
70,36,185969
71,50,260666
75,47,1139566
76,31,2418777
78,31,18653
95,58,12585
112,47,3775
29,42,26
39,38,6873
56,35,2230
56,61,5361
97,32,5465
106,82,3391
81,59,24127
86,10,2143
91,56,883
64,78,4034
67,14,831
72,3,255
80,81,473
84,78,33
119,14,580
47,38,450
53,72,270
32,31,8
43,33,396
114,27,1037
97,33,283
88,72,201
104,70,85
69,10,7
72,9,86
72,10,1
76,6,41
112,46,29
58,63,1
121,19,6
46,37,18
29,6,9
32,43,1
100,54,44
93,22,38
108,38,43
94,15,60
37,32,13
32,14,6
111,54,4
40,60,30
60,5,14
112,54,1
90,19,48
40,72,1917
46,58,1173
49,54,1436
50,51,663
57,58,2848
60,32,2120
60,43,89687
71,39,5538296
75,33,1608945
79,47,2977674
81,55,5441
86,45,1195022
94,66,13787
100,46,3988
32,67,8301
57,3,362
61,58,15161
104,49,3250
43,4,92
100,78,997
109,65,335
100,1,722
13,9,300
22,29,1565
80,19,269
18,19,1132
96,38,2301
73,5,115
86,61,1793
47,63,1442
78,57,100
116,23,657
57,54,665
34,33,85
97,59,2961
68,66,124
22,58,619
48,8,99
116,15,86
50,17,465
19,76,77
17,21,4
88,24,13
53,74,583
61,77,37
65,65,37
51,66,403
34,14,25
112,45,68
60,9,94
83,19,34
55,80,62
88,14,94
30,9,55
43,61,57
57,69,1
47,59,47
80,2,258
120,20,40
123,3,37
43,45,20
91,53,206
54,55,13
117,69,11
100,0,66
82,19,106
123,32,354
117,49,35
44,45,22
53,76,70
28,68,4
32,34,21
120,35,4
91,13,109
85,4,62
35,45,4
41,58,21
32,46,195
63,81,61
112,43,1
